clean_review;label;predicted_sentiment
"As long as you keep in mind that the production of this movie was a copyright ploy, and not intended as a serious release, it is actually surprising how not absolutely horrible it is. I even liked the theme music.  And if ever a flick cried out for a treatment by Joel (or Mike) and the MST3K Bots, this is it! Watch this with a bunch of smart-ass wise-crackers, and you're in for a good time. Have a brew, butter up some large pretzels, and enjoy.  Of course, obtaining a copy requires buying a bootleg or downloading it as shareware, but if you're here on the IMDb, then you're most likely savvy enough to do so. Good luck.  And look for my favorite part....where Dr. Doom informs the FF that they have 12 hours to comply with his wishes....and he actually gestures the number ""12"" with his finger while doing so....it's like ""Evil Sesame Street""....hoo boy.  ...and of course Mrs. Storm declaring ""Just look at you....the Fanstastic Four"" is just so heartwarming....you'll laugh, you'll cry.....  So if you love schlocky Sci-Fi, this one's Fantastic For you!";0;Positive
"I saw this movie as part of a Billy Graham program. The church I attend was part of a community wide outreach to present God and Christianity to our community (Hartford, Ct. USA). I was one of the counselors who helped attendees (who were invited to come forward and make whatever kind of religious profession they wanted...and to follow up on them after the movie. As such, it did what it was supposed to do, and I personally found it to be a medium to strengthen my faith in God.I also found it to be very helpful to those I counseled. I especially like the work of Kim Darby in this movie. And the parents (the Wintons?) were , in a way, a little overdrawn....no one says to their child if they think that he or she may be the parent of an illegitimate child something like the Wintons did ""oh, no, no, not thaaat."" That isn't exactly what they said, but the sympaathetic audience I saw had a laugh at whatever it was they did say, and also at the son's emphatic ""No, MOm, not me."" Don Berghuis";0;Positive
At it's core, this is a fairly typical revenge Western, heavy on the spaghetti, and if you follow it as such, the protagonist comes through successfully defeating the main villain. However there's so much going on that has no bearing on the story that you have to wonder what the film makers were thinking about. I'm referring to stuff like the way Miss Rosie's singing number just pops up out of nowhere and the boxing match in the middle of town. OK, they have a loose connection to the influence villain Mash Flanagan has, but why all of a sudden does he turn up with an alias - Mr. Donovan.  On the flip side, I thought it was pretty innovative how the camera shot showing the wounded Wallach's view of the trail might have been filmed by someone with an actual bullet in his shoulder. And wasn't it great the way Donovan's girl uses the old headache routine when he gets a little frisky? Don't let me forget either the great stunt work by the gravel pit bad guys as Wallach guns them down as part of the finale.  Still, there was one thing unaccounted for, and I kept waiting the entire movie for it. Whatever happened to that trio of hoods that Flanagan/Donovan hires near the start of the picture? You know, the guy Martel that a funeral parlor wanted to hire for his gun prowess, the devil's henchman Mitchell with the rifle, and the knife thrower Lincoln Tate. Each had a five thousand dollar bounty on his head, and they were supposed to protect Donovan from the guy who survived the massacre of the opening scene. They were never heard from again! I like to think that maybe Donovan just had them killed and kept the 15K all for himself.;0;Positive
"Well, I have to disagree with Leonard Maltin on this animated short. He loves it and claimed it was hilarious. I enjoyed it but didn't see any humor. He doesn't even like hockey or know anything about it, and still loved the story. Living right across the border from Canada, I have watched hockey for 50 years both there and in Buffalo....but I didn't think much of this cartoon. Oh, it was interesting and I know what would happen if you wore a Toronto jersey up in the Quebec area - disaster! That especially holds true in the glory years of Les Canadians. However, that doesn't make the story funny.   Back in the 1950s, everyone in the Quebec provinces idolized the Montreal Canadians and their star player, Maurice Richard, and everyone wanted to be like him. When his mother orders a new sweater, it has the Toronto Maple Leafs emblem on it, so the kid doesn't want to be caught dead wearing it.. When he finally does and heads to the local rink, he gets ostracized from the rest of his hockey buddies. What's so funny about that? I could see the same thing happening to a kid in Boston who is Red Sox die-hard and his mom gets him Yankees shirt! Horrors! You couldn't wear it, and vice-versa.  Maybe to someone who doesn't follow sports at all, like Maltin, this situation seems odd and humorous to him...but it's a fact of life or any bit-time sports fan and his favorite team. It was an interesting story, and totally believable, but nothing that made me laugh.  The art was fun to look at throughout, almost like looking at a long series of crayon paintings done by a talented school kid. The French Canadian accent was good, too. This movie was part of the DVD ""Leonard Maltin's Animation Favorites From The National Film Board Of Canada.";1;Negative
"This game is not exactly the best N64 game ever. Sure, it's good, but only when there's 4 players. Without 4 players, the only fun thing to do is take remote mines and see how many people you can kill. But half of this game are levels where you have to save Natalya, so you'll have to limit your use of remote mines in those levels, and that gets quite boring. The graphics don't exactly reach the level of Super Mario 64 or even Mario Kart 64. And if you're talking a great multiplayer in a 1st-person shooter, you'll have to go with Perfect Dark. At least you can play ""multiplayer"" by yourself.";1;Negative
I cannot understand the need to jump backwards and forwards to scene set, and pad out the plot. Showing that someone has a skill right before they use it, I believe, is offending our intelligence. It's starting to feel a little contrived, and as though they are making up for being so vague for the first three series. A little disappointing this episode.  Furthermore, using past quirks, like Locke's ability to know when a storm is ending, is frankly insulting... are we supposed to ooh and arr, or laugh at the softer side of Locke?  This episode was all over the place.;1;Negative
"Ants are shown in cartoons as being able to carry away chicken legs, watermellons, people, etc. This may be an admirable characteristic because ants carry the film Phase IV. This is not because they want to, but because they have to.  The movie opens with a narrator cryptically explaining that some cosmic event has come over the earth, and that a fellow scientist has been working on the effect this disturbance has on the ant population. The movie is broken up in segments; the first part after the cosmic event is Phase I, and so on until the end of the movie, which is Phase IV.  What is Phase IV? Who knows? We don't get to see that part; presumably it has something to do with the bonding of one of the scientists studying the ants and a girl who lived in the area. The girl, who looks like a cross between Alicia Silverstone and Liv Tyler, is mad at the ants because they killed her horse, but except for one angry outburst, goes around the biodome with a blank (""Clueless""?) look.  These ants are pretty smart; or the scientists are rather dumb. I'll give credit to the ants. Why? Anything that usually ruins my picnics that can then build reflecting towers, blow up trucks, and adapts to poison with the greatest of ease gets my vote for being the smarter species, at least in this movie.  Sterno says stomp on this anthill.  ";0;Positive
"There is a special heaven reserved for people who make the world laugh. Alongside Chaplin,Stan and Ollie,The Marx Bros and.....(fill in your own special favourites)space must be made for everybody connected with ""Airport 80 - Concorde,the movie"". Robert Wagner in particular exceeds all expectations giving the comedy performance of a lifetime.I would never have thought he had it in him. The only way he could have been funnier would have been to have worn a red nose and a revolving bow tie. British moviegoers will recognise the fat one from Cannon and Ball pretending to be a Russian athlete,a nice trick if he could have pulled it off but,tragically,he couldn't.I have a 14 year old labrador more athletic and almost as funny. George Kennedy - bless him - has a part that requires him talk and move at the same time,and my goodness he triumphs!Brow wrinkled with effort he utters timeless dialogue,each word lovingly polished into Coward-like brilliance. Only once in twenty years does Hollywood turn out a film like ""Airport 80"".All the years of toil and struggle,the sweat,the tears,the lessons with Lee Strasberg,living out of suitcases,born in a trunk etc etc,all come to fruition.A work of art is created that will last as long as there are movies and machines to show them on. I think I'm ready for my medication now.";0;Positive
"this movie is so bad. but its so bad that i was laughing my ass off. for people that like movies, do not watch this one. for people who like movies good and bad, i recommend this one. the story lines shaky,the script is horrible,the acting is horrible to mediocre. the soundtrack throughout the movie was corny but i loved it. the cool catchphrases were a plus tho. ha ha. ""if it can bleed, it can die"". the fight scenes cracked me up. it seemed to me like they spent more time on those parts than any other cuz the fight scenes for the most part were pretty clean. i almost feel like this movie could have been good if it weren't for the f/x....no it would have still been a crapshoot. the eye thing was corny. and how the chick was eating the guys stomach in the kitchen,they coulda done something where shed be actually eating something or at least put more of the fake blood on her face. and the lighthouse explosion disappointed me. i thought they might have gotten real fire instead of crappy computer synthesized stuff. and the ending was so predictable, which surprised me when they actually did what i though they might do. so overall. id say this is a classic as far as crappy movies go. its in my bottom 5.";0;Positive
This is another one of those movies I just knew I would hate, but it ended up not being as bad as one would expect.  It has a lot of T&A in it and even the DVD menu is chocked full of women's breast. The first few scenes of the movie has a lot of sex and nudity and I was beginning to think there would be no story at all just exploiting nudity for the sake of making money off a popular prequel 8MM.  As I continued to watch there was just more sex and nudity and main characters that I could care less about, but then the story started to unfold and I started to see a point to it all, and it was a tad better.  It is about a man who's fianc?© is the daughter of an Ambasador and they all have a promising future until nude photos of a menage a trois sex act shows up and blackmail is in the senders cards. The man and his fianc?© must now get to the bottom of who sent the pics and how to shut them up.  The movie first of all is nothing to do with part 1, it doesn't even have anything to do with 8MM's, its about a sex video though so I can see the similarities, as small as they may be.  The acting is neither good, nor bad, its just nobodies playing parts anybody could do. The films production value is middle of the road and its pure drama yawn.  I did enjoy going along for the ride getting to the bottom of the blackmailers motives. I was anticipating answers which is way more than I could say for the first one which I consider garbage. This movie has some nice twists too which are always welcomed.  It's not great, and it is very slow started, but it does ultimately entertain. I wasn't on the edge of my seat and I won't rave to my friends that this is a must see, but hey if you watch a lot of movies and always seek something new, this might entertain you for 90 minutes.;0;Positive
